,Continent,Country,Measurement,Value
1,Africa,Algeria,Langs,18.00
2,Africa,Angola,Langs,42.00
3,Oceania,Australia,Langs,234.00
4,Asia,Bangladesh,Langs,37.00
5,Africa,Benin,Langs,52.00
6,Americas,Bolivia,Langs,38.00
7,Africa,Botswana,Langs,27.00
8,Americas,Brazil,Langs,209.00
9,Africa,Burkina Faso,Langs,75.00
10,Africa,CAR,Langs,94.00
11,Asia,Cambodia,Langs,18.00
12,Africa,Cameroon,Langs,275.00
13,Africa,Chad,Langs,126.00
14,Americas,Colombia,Langs,79.00
15,Africa,Congo,Langs,60.00
16,Americas,Costa Rica,Langs,10.00
17,Africa,Cote d'Ivoire,Langs,75.00
18,Americas,Cuba,Langs,1.00
19,Americas,Ecuador,Langs,22.00
20,Africa,Egypt,Langs,11.00
21,Africa,Ethiopia,Langs,112.00
22,Americas,French Guiana,Langs,11.00
23,Africa,Gabon,Langs,40.00
24,Africa,Ghana,Langs,73.00
25,Americas,Guatemala,Langs,52.00
26,Africa,Guinea,Langs,29.00
27,Americas,Guyana,Langs,14.00
28,Americas,Honduras,Langs,9.00
29,Asia,India,Langs,405.00
30,Asia,Indonesia,Langs,701.00
31,Africa,Kenya,Langs,58.00
32,Asia,Laos,Langs,93.00
33,Africa,Liberia,Langs,34.00
34,Africa,Libya,Langs,13.00
35,Africa,Madagascar,Langs,4.00
36,Africa,Malawi,Langs,14.00
37,Asia,Malaysia,Langs,140.00
38,Africa,Mali,Langs,31.00
39,Africa,Mauritania,Langs,8.00
40,Americas,Mexico,Langs,243.00
41,Africa,Mozambique,Langs,36.00
42,Asia,Myanmar,Langs,105.00
43,Africa,Namibia,Langs,21.00
44,Asia,Nepal,Langs,102.00
45,Americas,Nicaragua,Langs,7.00
46,Africa,Niger,Langs,21.00
47,Africa,Nigeria,Langs,427.00
48,Asia,Oman,Langs,8.00
49,Americas,Panama,Langs,13.00
50,Oceania,Papua New Guinea,Langs,862.00
51,Americas,Paraguay,Langs,21.00
52,Americas,Peru,Langs,91.00
53,Asia,Phillipines,Langs,168.00
54,Asia,Saudi Arabia,Langs,8.00
55,Africa,Senegal,Langs,42.00
56,Africa,Sierra Leone,Langs,23.00
57,Oceania,Solomon Islands,Langs,66.00
58,Africa,Somalia,Langs,14.00
59,Africa,South Africa,Langs,32.00
60,Asia,Sri Lanka,Langs,7.00
61,Africa,Sudan,Langs,134.00
62,Americas,Suriname,Langs,17.00
63,Africa,Tanzania,Langs,131.00
64,Asia,Thailand,Langs,82.00
65,Africa,Togo,Langs,43.00
66,Asia,UAE,Langs,9.00
67,Africa,Uganda,Langs,43.00
68,Oceania,Vanuatu,Langs,111.00
69,Americas,Venezuela,Langs,40.00
70,Asia,Vietnam,Langs,88.00
71,Asia,Yemen,Langs,6.00
72,Africa,Zaire,Langs,219.00
73,Africa,Zambia,Langs,38.00
