"","participant","language","item","repetition","vot"
"1","monoSp00","spanish","da",1,-75.8
"2","monoSp00","spanish","da",2,-81.11
"3","monoSp00","spanish","da",3,-56.46
"4","monoSp00","spanish","de",1,-55.57
"5","monoSp00","spanish","de",2,-62.94
"6","monoSp00","spanish","de",3,-43.66
"7","monoSp00","spanish","di",1,-53.99
"8","monoSp00","spanish","di",2,-72.44
"9","monoSp00","spanish","di",3,-58.53
"10","monoSp00","spanish","te",1,18.64
"11","monoSp00","spanish","te",2,9.36
"12","monoSp00","spanish","te",3,18.02
"13","monoSp00","spanish","ti",1,-3.57
"14","monoSp00","spanish","ti",2,14.72
"15","monoSp00","spanish","ti",3,11.35
"16","monoSp00","spanish","tu",1,13.1
"17","monoSp00","spanish","tu",2,-1.05
"18","monoSp00","spanish","tu",3,14.22
"19","monoSp01","spanish","da",1,-79.78
"20","monoSp01","spanish","da",2,-45.13
"21","monoSp01","spanish","da",3,-60.75
"22","monoSp01","spanish","de",1,-45.63
"23","monoSp01","spanish","de",2,-59.5
"24","monoSp01","spanish","de",3,-56.64
"25","monoSp01","spanish","di",1,-43.04
"26","monoSp01","spanish","di",2,-71.45
"27","monoSp01","spanish","di",3,-71.08
"28","monoSp01","spanish","te",1,7.66
"29","monoSp01","spanish","te",2,13.06
"30","monoSp01","spanish","te",3,23.24
"31","monoSp01","spanish","ti",1,0.57
"32","monoSp01","spanish","ti",2,17.12
"33","monoSp01","spanish","ti",3,8.19
"34","monoSp01","spanish","tu",1,8.41
"35","monoSp01","spanish","tu",2,0.5
"36","monoSp01","spanish","tu",3,7.79
"37","monoSp02","spanish","da",1,-56.94
"38","monoSp02","spanish","da",2,-62.77
"39","monoSp02","spanish","da",3,-73.32
"40","monoSp02","spanish","de",1,-70.49
"41","monoSp02","spanish","de",2,-61.41
"42","monoSp02","spanish","de",3,-66.53
"43","monoSp02","spanish","di",1,-55.16
"44","monoSp02","spanish","di",2,-58.13
"45","monoSp02","spanish","di",3,-34.6
"46","monoSp02","spanish","te",1,25.87
"47","monoSp02","spanish","te",2,6.34
"48","monoSp02","spanish","te",3,8.54
"49","monoSp02","spanish","ti",1,5.84
"50","monoSp02","spanish","ti",2,10.7
"51","monoSp02","spanish","ti",3,16.13
"52","monoSp02","spanish","tu",1,4.81
"53","monoSp02","spanish","tu",2,7.84
"54","monoSp02","spanish","tu",3,9.67
"55","monoSp03","spanish","da",1,-58.58
"56","monoSp03","spanish","da",2,-53.18
"57","monoSp03","spanish","da",3,-46.76
"58","monoSp03","spanish","de",1,-57.59
"59","monoSp03","spanish","de",2,-69.63
"60","monoSp03","spanish","de",3,-60.16
"61","monoSp03","spanish","di",1,-49.96
"62","monoSp03","spanish","di",2,-46.48
"63","monoSp03","spanish","di",3,-62.32
"64","monoSp03","spanish","te",1,17.78
"65","monoSp03","spanish","te",2,21.11
"66","monoSp03","spanish","te",3,6.14
"67","monoSp03","spanish","ti",1,1.14
"68","monoSp03","spanish","ti",2,6.64
"69","monoSp03","spanish","ti",3,7.78
"70","monoSp03","spanish","tu",1,13.6
"71","monoSp03","spanish","tu",2,15.97
"72","monoSp03","spanish","tu",3,16.38
"73","monoSp04","spanish","da",1,-49.8
"74","monoSp04","spanish","da",2,-53.71
"75","monoSp04","spanish","da",3,-49.02
"76","monoSp04","spanish","de",1,-52.1
"77","monoSp04","spanish","de",2,-61.09
"78","monoSp04","spanish","de",3,-70.76
"79","monoSp04","spanish","di",1,-51.33
"80","monoSp04","spanish","di",2,-70.45
"81","monoSp04","spanish","di",3,-74.32
"82","monoSp04","spanish","te",1,19.41
"83","monoSp04","spanish","te",2,19.93
"84","monoSp04","spanish","te",3,10.34
"85","monoSp04","spanish","ti",1,9.03
"86","monoSp04","spanish","ti",2,17.34
"87","monoSp04","spanish","ti",3,5.34
"88","monoSp04","spanish","tu",1,9.72
"89","monoSp04","spanish","tu",2,13.69
"90","monoSp04","spanish","tu",3,13.88
"91","monoSp05","spanish","da",1,-65.76
"92","monoSp05","spanish","da",2,-57.39
"93","monoSp05","spanish","da",3,-59.3
"94","monoSp05","spanish","de",1,-43.52
"95","monoSp05","spanish","de",2,-59.22
"96","monoSp05","spanish","de",3,-54.55
"97","monoSp05","spanish","di",1,-77.32
"98","monoSp05","spanish","di",2,-60.27
"99","monoSp05","spanish","di",3,-58.13
"100","monoSp05","spanish","te",1,28.88
"101","monoSp05","spanish","te",2,12.88
"102","monoSp05","spanish","te",3,2.38
"103","monoSp05","spanish","ti",1,4.33
"104","monoSp05","spanish","ti",2,1.19
"105","monoSp05","spanish","ti",3,7.39
"106","monoSp05","spanish","tu",1,13.03
"107","monoSp05","spanish","tu",2,2.62
"108","monoSp05","spanish","tu",3,9.58
"109","monoSp06","spanish","da",1,-58.94
"110","monoSp06","spanish","da",2,-65.73
"111","monoSp06","spanish","da",3,-78.04
"112","monoSp06","spanish","de",1,-53.8
"113","monoSp06","spanish","de",2,-82.97
"114","monoSp06","spanish","de",3,-81.38
"115","monoSp06","spanish","di",1,-58.01
"116","monoSp06","spanish","di",2,-79.53
"117","monoSp06","spanish","di",3,-59.43
